,word,freq,cfbetweenness,eigenvalue
2047,nacional,5,0.004399801940284167,0.0002940632107522501
321,uma,8,0.00436482107858079,0.00056053982793558
283,outbreak,15,0.004354626879403773,0.013911065715037044
29,im,18,0.00433825935771647,0.013365284667768183
478,publica,3,0.004317012189751476,8.15083338676234e-05
736,one,18,0.004315106990176749,0.016814471512290655
1284,yg,8,0.004311812967905414,0.00043657292049393605
683,must,20,0.004311691465181682,0.01982715249519658
1696,semua,4,0.004300919984724204,0.0002166442328190604
2238,rumah,3,0.004297811503282721,0.00018834506264303957
843,suspension,5,0.004200563435887349,0.0005160977593624405
2508,mejor,7,0.004200145472140692,0.0006009127256439654
17,there,20,0.004190393217910339,0.01673433782292257
235,show,14,0.004188332126156901,0.008410277065857527
111,mundo,4,0.004172451572681439,0.00045899523339191963
1388,hoax,3,0.004160039119407203,0.003141145928485496
1068,down,17,0.004157330076032154,0.017193195585466618
605,cada,4,0.004152683772550243,0.00037454158555289766
808,va,10,0.0041258329308978044,0.005952755245293712
139,america,9,0.004119504063819735,0.008114249488328626
710,casi,4,0.004117508244805908,0.00032753129792239486
84,may,12,0.004116042378563528,0.010366997119546749
1299,tapi,3,0.004096517356105698,0.0010121739063653332
525,world,14,0.00408081962475886,0.020835006177842074
142,work,27,0.004062821255574117,0.0370191393090289
1953,some,10,0.004051373181306337,0.009018859828462431
898,grande,4,0.004039384297436556,0.0002817157130978821
284,against,14,0.004037206895247409,0.015793633055811326
2559,verdad,7,0.004020741175852685,0.00037351669025862587
4744,sera,3,0.00401454245979791,0.00031807240355211845
324,bolsonaro,5,0.004014092290184298,0.00032598131003675943
1154,trust,6,0.004007487547996078,0.005197374906729621
2033,sociales,4,0.004003155931509055,0.0004796949930960706
625,go,40,0.003990427710806029,0.03752021946023908
231,got,17,0.0039466732393417,0.012564026451956282
1326,sido,3,0.0039180602014962755,0.00015648740330667256
2067,politico,4,0.003917553720134133,0.00036792644800815247
3796,continue,3,0.00391662808344053,0.002353660475844106
32,right,18,0.0038860969506389767,0.023267164793889832
2308,cuba,5,0.003880748628614533,0.0004959747317303631
961,toda,5,0.003865061763842928,0.0003113450802015413
441,here,17,0.003860241788915556,0.016478936785067306
1233,medical,9,0.0038479826513225495,0.008907515825006658
2699,today,15,0.0038364855291344027,0.019283567383803966
286,had,12,0.0037948371301103298,0.011191086209274927
705,mexico,5,0.003794229466199969,0.0004313882614833153
4459,ministro,3,0.0037802557448666277,0.0001994634440837167
701,paris,3,0.0037788982253762794,0.00021157657141152364
2875,chile,7,0.003769247870628451,0.0006427841853310682
1703,mental,3,0.003754773555837763,0.0023506524530211887
1258,these,13,0.0037505126234369307,0.014126245469290541
1886,bin,2,0.003736965441889439,0.0002306577373749838
1889,maduro,5,0.0037338430278000914,0.00042961411111458345
331,vidas,3,0.003729638436825699,0.0002054735247951968
1609,stay,19,0.0037167869185921756,0.01781086875495135
878,decision,4,0.003711663017421978,0.005172470447989737
167,being,17,0.0037115480652369017,0.012485507670207152
1539,many,12,0.00370943014512501,0.013296948208916437
2372,hace,5,0.0036984013821206533,0.00036388929538387204
234,dont,56,0.003674404015580721,0.034593977760250354
2035,numero,5,0.00367296321863943,0.0003887914982539291
2130,paso,3,0.003672514700582985,0.00018905425771231286
173,tener,4,0.003659465576115672,0.0003892328521163549
535,hacer,5,0.003611547503643158,0.0005798626741469411
3209,task,4,0.003604186494939544,0.0036583958152137386
268,then,22,0.003599173195104077,0.018280127688186664
1677,duque,4,0.003585249380943396,0.0003730472821586853
1468,even,18,0.003581450039358276,0.019588696678366883
2030,internacional,3,0.0035564676930413264,0.00020279233088016247
1941,au,3,0.003554065195739564,9.837261341676233e-05
2126,gracias,3,0.003551930496887754,0.003088634628524675
147,idris,15,0.003551929276534261,0.005790840746280183
1891,segun,4,0.0035500399061117517,0.00029125800978512835
2826,primer,4,0.0035485517362322536,0.0002610198224215056
557,partir,3,0.003546380345180114,0.0003177264736666488
148,elba,14,0.003543946648189273,0.005676039681417982
634,still,13,0.0035350695272944265,0.016431893510981985
3205,ultima,4,0.003528028852834546,0.00020907424454113301
2218,confirmed,3,0.0035202006904418827,0.0021356773886216556
330,com,12,0.0035091593663113367,0.001276003610942327
117,debe,4,0.0035024575478045127,0.00032125401663292435
433,while,12,0.0034935953014532685,0.010915029694463788
1070,bill,13,0.0034674811124271203,0.013495701529235817
85,vote,17,0.0034547007283739187,0.024354142710265512
1601,mientras,4,0.0034496905842545484,0.0001951406240577429
568,sa,3,0.0034360167647603202,0.0003050976638222422
774,until,14,0.003427560284768038,0.009763920162275112
4458,seu,3,0.0034103298941552066,0.00024198610855461652
3766,entrar,4,0.0033981924463058395,0.00028457989674580183
4202,mandan,4,0.003390261810774712,0.00027322335368722345
3013,marzo,4,0.00337611769706488,0.0002462477948868556
223,know,28,0.0033741439263497023,0.022108598859874897
501,call,14,0.0033584077504376845,0.013767120431885623
1815,utk,4,0.0033535592662177296,0.00020754254077230266
1071,help,18,0.0033322633170251945,0.01717592593558595
1031,selfish,5,0.003329002276475834,0.004348609783818216
1172,minutos,4,0.003328735442329779,0.00031420316902474525
2244,doktor,4,0.003327952662112829,0.0001632694290957368
1838,vs,2,0.0033186802823147784,0.001460117948880129
1864,disponible,2,0.003318538812694286,0.00018200533167664565
1027,going,18,0.003308819837945466,0.02361962236246658
1681,manera,5,0.003287357299985066,0.00038872692941894664
741,could,24,0.0032643218221401343,0.023938026297055007
1349,same,14,0.003259881463814167,0.01613101321046307
2386,ke,5,0.0032530499480033204,0.0003186739633792216
2970,semana,3,0.003240945579400523,9.535455518454804e-05
2137,dejen,4,0.0032368003222844844,0.0003245044689128434
1096,sino,3,0.00322399893079268,0.00016366591959099402
1702,dengan,5,0.003189833570354631,0.00027238029866465943
877,impeachment,3,0.0031862718296654232,0.0038547133754810187
