,word,cfbetweenness,cfcloseness,eigenvalue
205,@Freshbakes1,4.6037566294996674e-05,0.00045425800936248645,0.2181194956899435
47,@Pawanku58226898,0.0002994753027791544,0.0017790254014906001,0.1957534727008451
612,@Anshulkd2054,6.988738128023704e-05,0.0006939659930576639,0.1686564829216432
299,@amizere,0.00024912238995568916,0.001223776643526459,0.11235125089485612
660,@GaneshNa213,0.00047723443509755894,0.0014116227849138225,0.10711773939147091
169,@mayela661,0.0004164653781532534,0.0016585008156602618,0.10626500502165755
749,@MihirKuanar,0.00012196379191412699,0.001044020561693714,0.09182902669105046
625,@PriscillaNyaab1,0.00011109057264972656,0.0009873303229528169,0.0862015781621022
131,@PeterFranks69,0.00012222801963629603,0.0010668343841734656,0.08517304808078266
544,@JarekFraterski,0.007813610316017013,0.0010431891772687478,0.0781530812407685
747,@CmastersB,0.00012819262829441355,0.0011250952749342557,0.07796863365981856
753,@lilaflor68,0.00013039489215331977,0.0011248583944289893,0.07655731346070747
509,@mostafabenh,0.00016341948614046367,0.0013680019708463174,0.07246029425790278
617,@GhausDr,0.0007760346898297244,0.0026369661185274645,0.07157860582583182
245,@MARLE68,0.00735692678054659,0.001274783387091008,0.06971959379848641
391,@monkeco,0.00013625206272505533,0.0011643515746473402,0.06851830916124353
326,@OnaElse,0.00015405359744954277,0.0012915075077192637,0.06647716532265807
564,@Hasta_la_madr3,0.00014721380099969587,0.0012246101269029863,0.06470991863995741
388,@5hr1nk,0.00016973050309796958,0.0013418573727567587,0.06425813774248458
194,@onlybegottengod,0.0013319043672611623,0.0019364745354006434,0.06342588065449141
448,@Norlaine,0.00018267797408989882,0.0014840051611891068,0.06130611852521969
323,@JakeDurbin12,0.0001811830490679157,0.001412120092042208,0.05805094771036178
379,@DTolliver83,0.007152058625820631,0.0014241289937729754,0.056690369764316885
676,@clovid01,0.00017158130112515066,0.0013653400205634076,0.05612567158963272
396,@salgado700413ps,0.00019280376579520187,0.0014956813579990193,0.0556862573310611
661,@TexasEEOLaw,0.007038851169411565,0.0015293761948852703,0.05288978600080733
640,@rolynhome,0.0002165408515526655,0.00162732050244147,0.05190318454907115
539,@MrRahul93339146,0.007045499186472633,0.001533963500553359,0.0510108502456044
364,@Tanjaul1,0.00026230312040363235,0.0018930004329877112,0.048245757331556435
514,@DanWTwitmo6,0.00341757163678408,0.0027779328812127598,0.04804742146814344
406,@chickwerner,0.008421083612516412,0.0029201160386659857,0.04755736919388787
84,@TenTamilNews,0.0069579132032334,0.0016307406487579032,0.04721262682633496
459,@mpcoreno,0.0002768685430514768,0.0019461428591394472,0.04708771528666805
594,@Mainaxcs,0.00023493250487152453,0.001667884538962203,0.047070933942901454
649,@AsFreedomReigns,0.0002364297194766843,0.001728304769967219,0.046711651532491134
497,@XRCollaboration,0.00021342088550265807,0.0015933698894565645,0.04607733301998439
401,@Plus_haut,0.006892288278726827,0.0016865307404495843,0.04519792615313408
710,@pepperm00831681,0.0002707620690113443,0.0019469551210558615,0.04421605141801461
630,@Rahul_Dua,0.00020996457675226868,0.0015862054754553461,0.0440742557552413
550,@One_romOne,0.0003249906460022674,0.002045166921367657,0.043958202034585434
652,@GarethIsaacs,0.0002520020306110952,0.001733787895324275,0.0427318391995322
127,@Techgnostik,0.00025529648809128204,0.0017841312584839157,0.04215207327297469
727,@clancylisa,0.00025696622084613014,0.0018366922467479856,0.04200510422070081
151,@AnilVerma8834,0.0002365929867076028,0.0017100450004613123,0.04164565529278205
