,word,freq,cfbetweenness,eigenvalue
1144,medical,9,0.00683468759973537,0.014666915239185667
2136,ja,5,0.0068140337282507225,0.008922224598674889
2723,italia,6,0.0067816509119847206,0.010637326724783753
1713,thread,4,0.006757661657219289,0.008064393960867992
84,mais,6,0.006667289529397853,0.007773996246270355
3103,force,8,0.006630732945078103,0.010959818086750596
661,could,24,0.006580600324548684,0.0497504523443529
1760,puede,10,0.006526054498934942,0.015168205603212236
249,ao,6,0.006482035458822737,0.008844184929256921
942,bars,5,0.006410435162735534,0.008412110094078818
956,see,10,0.006401062468270068,0.015303528006918962
1345,gente,8,0.006398179339228633,0.013972684674377801
431,call,14,0.006378168208084461,0.03405139942170306
983,bill,13,0.006239225542922004,0.029639293696682056
941,going,18,0.006196879416168216,0.05295246412627073
1127,grave,6,0.0061836679800296975,0.007854488156747556
856,video,9,0.006181551257325929,0.011477598112457538
984,help,18,0.0061690084949040346,0.03549660541735208
2072,sure,7,0.006167417539948576,0.01817908283588084
3305,every,10,0.006093480061638113,0.012465992057113085
2262,paises,7,0.006064112705224517,0.008924831624831969
339,españa,8,0.00593841865672307,0.011239676251708465
2647,aqui,10,0.005901481860981389,0.011285121951834102
1704,confirmados,10,0.0058917303563396604,0.01697840033937998
940,vulnerable,8,0.005845477616828584,0.019096642214342294
748,favor,6,0.005817806509786796,0.009493843665081539
2698,eu,8,0.005746839600458542,0.008772671213635449
1417,et,5,0.0057387784592104535,0.003984145595630959
607,argentina,11,0.0057099055974439384,0.018921681368750626
585,face,10,0.0056915349423547,0.018637643116797317
1254,york,5,0.005664346738664069,0.01096873813009945
548,would,13,0.005639605218609459,0.027403290840233442
2631,ver,6,0.005639492670157818,0.008286231838217063
1807,make,13,0.0055878502229853915,0.039384688952748804
1066,trust,6,0.005582809478916847,0.012888604275460212
935,theyre,10,0.00553238564198327,0.02044612554112606
2825,ne,4,0.0055079087950285505,0.007343582624944144
235,times,8,0.005473466794113654,0.015253033625180832
1747,dia,13,0.0054583071415026975,0.021711378186647146
2567,avianca,6,0.00545813225808362,0.008237525555191047
1023,atencion,6,0.0054497893754836164,0.009502016121791147
132,vacacionesuna,6,0.005445528898220254,0.008266288096414436
1112,state,10,0.005366802988146343,0.017394518759180314
436,calling,10,0.005354112834434858,0.03001216572688818
821,pra,5,0.005309051773804059,0.007856276174453468
680,days,12,0.005277198443712762,0.023047521158233282
296,sintomas,8,0.005269315110832574,0.015227601019996307
114,positive,19,0.0052462367479829556,0.039867594045002064
38,back,15,0.005244109735220422,0.02605778540965886
113,tests,33,0.005240240804437617,0.06536560262395709
2528,workers,8,0.005226933847742761,0.013471753067059968
1157,thats,7,0.005184312089851577,0.010280003580882447
130,vamos,5,0.005178546885577528,0.007850249295934223
474,weeks,13,0.005162021523558048,0.02585714459617614
646,global,9,0.0051591691479551125,0.018491668551483213
1596,dari,5,0.005147647242259939,0.005515651945134416
2404,working,9,0.0051429704943158116,0.017846580193899602
1448,criminal,4,0.005139957598338728,0.009989220516979903
921,dos,9,0.005136421075667394,0.013515804032621072
673,told,10,0.005136049099866841,0.016090418316347666
186,show,14,0.005135160718852938,0.06859740781221628
843,vacacionescine,11,0.0051322019356861035,0.02827594642639897
922,despues,8,0.0051187792480447,0.013684100597936455
1263,tidak,6,0.005101182755859485,0.0068889944330873705
1058,states,9,0.005100147163713579,0.02168432816019556
582,day,12,0.00509748436885935,0.018862055532014557
